Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
IND,2002-01-01,2004-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,9.8,E,
IND,2003-01-01,2005-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,9.9,E,
IND,2004-01-01,2006-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,10.2,E,
IND,2005-01-01,2007-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,10.6,E,
IND,2006-01-01,2008-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,11.1,E,
IND,2007-01-01,2009-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,11.4,E,
IND,2008-01-01,2010-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,11.6,E,
IND,2009-01-01,2011-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,11.6,E,
IND,2010-01-01,2012-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,11.7,E,
IND,2011-01-01,2013-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,11.8,E,
IND,2012-01-01,2014-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,12.2,E,
IND,2013-01-01,2015-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,12.7,E,
IND,2014-01-01,2016-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,13.4,E,
IND,2015-01-01,2017-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,14,E,
IND,2016-01-01,2018-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,14.7,E,
IND,2017-01-01,2019-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,15.5,E,
IND,2018-01-01,2020-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,16.6,E,
IND,2019-01-01,2021-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,17.7,E,
IND,2020-01-01,2022-12-31,100,'356,India,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,18.4,E,
IND,2000-01-01,2000-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2000,2000,km,1.9,X,
IND,2001-01-01,2001-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2001,2001,km,1.9,X,
IND,2002-01-01,2002-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2002,2002,km,1.9,X,
IND,2003-01-01,2003-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2003,2003,km,1.9,X,
IND,2004-01-01,2004-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2004,2004,km,1.9,X,
IND,2005-01-01,2005-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2005,2005,km,1.9,X,
IND,2006-01-01,2006-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2006,2006,km,1.9,X,
IND,2007-01-01,2007-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2007,2007,km,1.9,X,
IND,2008-01-01,2008-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2008,2008,km,1.9,X,
IND,2009-01-01,2009-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2009,2009,km,1.9,X,
IND,2010-01-01,2010-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2010,2010,km,1.9,X,
IND,2011-01-01,2011-12-31,100,'356,India,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2011,2011,km,2,X,
